Date,Week,Away Team,Away Score,Home Team,Home Score,Neutral Field
Sep 27 2014,5,North Carolina,35,Clemson,50,
Sep 27 2014,5,Colorado State,24,Boston College,21,
Sep 27 2014,5,Texas-San Antonio,37,Florida Atlantic,41,
Sep 27 2014,5,Florida International,34,Alabama-Birmingham,20,
Sep 27 2014,5,Florida State,56,North Carolina State,41,
Sep 27 2014,5,Tennessee,32,Georgia,35,
Sep 27 2014,5,Iowa,24,Purdue,10,
Sep 27 2014,5,Texas-El Paso,28,Kansas State,58,
Sep 27 2014,5,Vanderbilt,7,Kentucky,17,
Sep 27 2014,5,New Mexico State,7,Louisiana State,63,
Sep 27 2014,5,Troy,20,Louisiana-Monroe,22,
Sep 27 2014,5,Wake Forest,10,Louisville,20,
Sep 27 2014,5,Maryland,37,Indiana,15,
Sep 27 2014,5,Duke,10,Miami (FL),22,
Sep 27 2014,5,Wyoming,14,Michigan State,56,
Sep 27 2014,5,Minnesota,30,Michigan,14,
Sep 27 2014,5,Memphis,3,Mississippi,24,
Sep 27 2014,5,Missouri,21,South Carolina,20,
Sep 27 2014,5,Illinois,14,Nebraska,45,
Sep 27 2014,5,Nevada,21,San Jose State,10,
Sep 27 2014,5,Northwestern,29,Penn State,6,
Sep 27 2014,5,Syracuse,15,Notre Dame,31,MetLife Stadium - East Rutherford NJ
Sep 27 2014,5,Eastern Illinois,19,Ohio,34,
Sep 27 2014,5,Cincinnati,28,Ohio State,50,
Sep 27 2014,5,Rice,41,Southern Mississippi,23,
Sep 27 2014,5,Tulane,6,Rutgers,31,
Sep 27 2014,5,Nevada-Las Vegas,17,San Diego State,34,
Sep 27 2014,5,South Alabama,34,Idaho,10,
Sep 27 2014,5,Oregon State,10,Southern California,35,
Sep 27 2014,5,Stanford,20,Washington,13,
Sep 27 2014,5,Temple,36,Connecticut,10,
Sep 27 2014,5,Texas,23,Kansas,0,
Sep 27 2014,5,Arkansas,28,Texas A&amp;M,35,AT&amp;T Stadium - Arlington TX
Sep 27 2014,5,Texas Christian,56,Southern Methodist,0,
Sep 27 2014,5,Texas State,37,Tulsa,34,
Sep 27 2014,5,Central Michigan,28,Toledo,42,
Sep 27 2014,5,Kent State,13,Virginia,45,
Sep 27 2014,5,Western Michigan,17,Virginia Tech,35,
Sep 27 2014,5,Washington State,28,Utah,27,
Sep 27 2014,5,Western Kentucky,36,Navy,27,
Sep 27 2014,5,South Florida,10,Wisconsin,27,
Sep 27 2014,5,Army,43,Yale,49,
Oct 2 2014,6,Arizona,31,Oregon,24,
Oct 2 2014,6,Central Florida,17,Houston,12,
Oct 2 2014,6,Florida Atlantic,10,Florida International,38,
Oct 3 2014,6,San Diego State,13,Fresno State,24,
Oct 3 2014,6,Louisville,28,Syracuse,6,
Oct 3 2014,6,Utah State,35,Brigham Young,20,
Oct 4 2014,6,Navy,21,Air Force,30,
Oct 4 2014,6,Eastern Michigan,6,Akron,31,
Oct 4 2014,6,Alabama-Birmingham,42,Western Kentucky,39,
Oct 4 2014,6,Arizona State,38,Southern California,34,
